Gamma, tau, nb_path_to_select, limit_number_paths, time_master_BA, time_subproblem_BA, time_master_KC, time_subproblem_KC, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCHOG, time_subproblem_KCHOG, time_master_KCHOGL, time_subproblem_KCHOGL
21,100,2,600,0.034243,0.009157,0.024592,0.003536,0.004588,0.004388,0.00483,0.003631,0.004339,0.00329,0.004905,0.003287,0.004375,0.00432,0.005461,0.004019
41,100,2,600,0.043949,0.038499,0.139785,0.012387,0.010801,0.012877,0.010696,0.012571,0.010431,0.012123,0.01106,0.01211,0.010453,0.012952,0.010449,0.0126
61,100,2,600,0.024152,0.046868,0.226614,0.026184,0.021738,0.027942,0.022606,0.028221,0.025439,0.02421,0.023487,0.027287,0.023124,0.028561,0.023242,0.028174
81,100,2,600,0.037262,0.087658,0.3099,0.058749,0.083906,0.07844,0.087914,0.069827,0.071541,0.064496,0.062687,0.051134,0.061139,0.059157,0.054699,0.064628
101,100,2,600,0.076794,0.18365,0.684963,0.071106,0.060516,0.073814,0.066594,0.075841,0.061251,0.076469,0.064762,0.071476,0.062387,0.082539,0.082965,0.09705
1,100,2,600,0.011185,0.000185,0.0039,0.000139,0.003117,0.000952,0.003078,0.000505,0.003214,0.000117,0.003562,0.000127,0.00324,0.001014,0.0033,0.000592
21,100,2,600,0.446151,0.043543,0.009221,0.00326,0.005132,0.00464,0.004887,0.003974,0.004614,0.003292,0.005097,0.003284,0.005457,0.005212,0.005416,0.004779
41,100,2,600,0.476939,0.145359,0.029664,0.014727,0.017175,0.01778,0.015921,0.017476,0.015723,0.014368,0.016273,0.014475,0.012346,0.015688,0.011957,0.013411
61,100,2,600,0.482135,0.228867,0.068364,0.030678,0.023214,0.029864,0.023597,0.028832,0.02358,0.027342,0.024133,0.026331,0.023699,0.030406,0.023239,0.029015
81,100,2,600,0.625442,0.424948,0.220392,0.073074,0.045034,0.059826,0.046776,0.057679,0.047192,0.053755,0.048619,0.054942,0.047389,0.060607,0.046051,0.056421
101,100,2,600,0.606414,0.620893,0.232619,0.074399,0.061303,0.086304,0.090116,0.092092,0.07434,0.085769,0.06935,0.081006,0.064059,0.085944,0.07258,0.079354
1,100,2,600,0.009174,0.000147,0.001729,8.8e-05,0.001689,0.000742,0.001759,0.000345,0.001542,8.1e-05,0.001582,7.4e-05,0.001664,0.000675,0.001575,0.000373
21,100,2,600,0.024683,0.008469,0.044233,0.003635,0.007952,0.007555,0.008663,0.006251,0.009194,0.005762,0.009979,0.005662,0.007718,0.007313,0.00878,0.006603
41,100,2,600,0.032606,0.035095,0.187974,0.017045,0.02411,0.022645,0.021222,0.020866,0.022103,0.018246,0.018288,0.018656,0.01708,0.019852,0.017912,0.020233
61,100,2,600,0.023561,0.047366,0.246205,0.026951,0.03728,0.043784,0.037821,0.043467,0.036245,0.041325,0.038928,0.042294,0.037719,0.043975,0.038402,0.043577
81,100,2,600,0.051383,0.109006,0.51046,0.071397,0.076285,0.085269,0.07571,0.089735,0.082242,0.082869,0.084167,0.081522,0.073792,0.08408,0.073516,0.080312
101,100,2,600,0.069011,0.170211,0.570198,0.075037,0.101393,0.121284,0.119369,0.135634,0.113974,0.1244,0.107577,0.123334,0.111648,0.133528,0.112499,0.132521
1,100,2,600,0.018929,0.000189,0.002513,8.4e-05,0.002461,0.000148,0.00245,0.000114,0.004073,0.000113,0.003525,7.3e-05,0.002468,0.00015,0.00244,0.000113
21,100,2,600,0.022745,0.007386,0.019592,0.003262,0.00513,0.004233,0.005073,0.004215,0.004817,0.003301,0.005241,0.003316,0.00514,0.004128,0.00503,0.003812
41,100,2,600,0.02737,0.027098,0.063949,0.012394,0.011382,0.013477,0.011204,0.012906,0.011673,0.011564,0.011488,0.012234,0.011023,0.01369,0.012896,0.012828
61,100,2,600,0.035656,0.058737,0.09852,0.027266,0.02479,0.027286,0.025741,0.026731,0.02318,0.02707,0.026338,0.025567,0.023442,0.029468,0.023352,0.028502
81,100,2,600,0.052085,0.109215,0.433122,0.051934,0.048977,0.059645,0.050438,0.051222,0.044327,0.051637,0.047941,0.055371,0.048887,0.05823,0.048283,0.058913
101,100,2,600,0.082116,0.18594,0.473253,0.078203,0.05959,0.090921,0.061732,0.082065,0.061161,0.08797,0.063602,0.077597,0.060128,0.080615,0.067975,0.09104
1,100,2,600,0.008142,0.000138,0.001943,8.9e-05,0.004258,0.000729,0.002014,0.000313,0.001743,7.2e-05,0.001885,8.1e-05,0.001802,0.000567,0.001987,0.000437
21,100,2,600,0.038824,0.01075,0.025614,0.003575,0.005678,0.004807,0.005377,0.004248,0.004994,0.003451,0.00584,0.003849,0.006059,0.004215,0.005759,0.004243
41,100,2,600,0.03654,0.034778,0.173099,0.014506,0.01275,0.013288,0.01246,0.013828,0.010578,0.012175,0.013886,0.01348,0.013836,0.014338,0.015149,0.015662
61,100,2,600,0.064229,0.086754,0.243727,0.03322,0.030241,0.041688,0.050856,0.047233,0.04032,0.029732,0.038639,0.036602,0.040272,0.044624,0.022875,0.028087
81,100,2,600,0.069142,0.130106,0.326647,0.048107,0.042569,0.051119,0.041536,0.052682,0.040955,0.048841,0.040809,0.04889,0.040939,0.050746,0.043478,0.054503
101,100,2,600,0.102116,0.219021,0.7683,0.086463,0.081979,0.099099,0.06882,0.094394,0.061161,0.076433,0.060818,0.074944,0.061086,0.090774,0.065167,0.075238
1,100,2,600,0.004161,9e-05,0.002601,8.6e-05,0.001793,0.000625,0.001758,0.000348,0.001764,8e-05,0.002359,9.4e-05,0.001789,0.000655,0.001766,0.000392
21,100,2,600,0.048871,0.010332,0.028913,0.003304,0.004555,0.004015,0.004549,0.003466,0.004407,0.003242,0.004858,0.00329,0.004527,0.003736,0.004399,0.003584
41,100,2,600,0.03931,0.032486,0.138587,0.013738,0.011082,0.012479,0.010483,0.012552,0.011084,0.01129,0.011665,0.013644,0.010358,0.012795,0.01054,0.012267
61,100,2,600,0.014351,0.035087,0.244584,0.030363,0.030863,0.034715,0.030489,0.034732,0.029162,0.033938,0.030679,0.033479,0.025557,0.035007,0.024138,0.029128
81,100,2,600,0.025051,0.071832,0.417223,0.068278,0.086507,0.07083,0.043463,0.062607,0.05039,0.057104,0.041158,0.048397,0.041958,0.053184,0.041239,0.052809
101,100,2,600,0.031458,0.102798,1.39351,0.083708,0.063052,0.081594,0.074403,0.092798,0.08215,0.091959,0.080977,0.09283,0.077068,0.082568,0.060255,0.086625
