Gamma, tau, nb_path_to_select, limit_number_paths, time_master_BA, time_subproblem_BA, time_master_BAN, time_subproblem_BAN, time_master_BAUl, time_subproblem_BAUl, time_master_BAUe, time_subproblem_BAUe, time_master_BAUD, time_subproblem_BAUD, time_master_KCA, time_subproblem_KCA, time_master_KCF, time_subproblem_KCF, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCUl, time_subproblem_KCUl, time_master_KCUl, time_subproblem_KCUe, time_master_KCUD, time_subproblem_KCUD, time_master_KCOG, time_subproblem_KCOG, time_master_KCOGL, time_subproblem_KCOGL
41,90,2,600,0.10196,0.057061,0.112494,0.03221,0.096502,0.030842,0.224683,0.046593,0.096103,0.022431,0.735391,0.070155,0.555726,0.066256,0.065678,0.104069,0.062681,0.092666,0.059197,0.039696,0.068344,0.038546,0.078535,0.038802,0.061818,0.095978,0.066757,0.104491
61,90,2,600,0.110628,0.118915,0.125028,0.06161,0.109127,0.062137,0.220034,0.093722,0.085578,0.046112,1.2503,0.136791,0.993401,0.126864,0.087717,0.194036,0.089651,0.193029,0.083884,0.080494,0.092974,0.080619,0.105031,0.081586,0.085693,0.2019,0.084126,0.219069
81,90,2,600,0.10708,0.202787,0.122892,0.106107,0.105929,0.104121,0.220032,0.154936,0.089745,0.076456,2.18914,0.213055,2.10809,0.263507,0.135359,0.354991,0.127642,0.341668,0.115753,0.140389,0.165973,0.188779,0.128164,0.137968,0.116937,0.332932,0.116039,0.297529
101,90,2,600,0.103921,0.305692,0.117308,0.155917,0.102862,0.154643,0.227207,0.234406,0.091433,0.115945,3.20435,0.305661,2.96621,0.311029,0.161655,0.483037,0.156459,0.444477,0.204273,0.21563,0.221346,0.291885,0.174268,0.219197,0.177545,0.503475,0.162649,0.454786
1,90,2,600,0.076362,0.00028,0.085916,0.000201,0.102017,0.000203,0.09306,0.000174,0.129068,0.000198,0.124492,0.003196,0.058821,0.003574,0.044526,0.005201,0.049569,0.004056,0.045415,0.000293,0.054518,0.000259,0.059886,0.000313,0.045497,0.005179,0.044923,0.004031
21,90,2,600,8.09503,0.105745,8.26546,0.050469,8.34891,0.055991,7.27356,0.054754,16.0744,0.053834,0.06343,0.028892,0.057989,0.026177,0.043758,0.030808,0.039195,0.028198,0.038151,0.008126,0.037952,0.006918,0.061041,0.007365,0.042577,0.028925,0.037657,0.027763
41,90,2,600,8.80579,0.324307,8.74784,0.177177,8.79876,0.179582,8.46332,0.176312,15.8692,0.163802,0.088337,0.077991,0.099602,0.076735,0.057579,0.067566,0.044951,0.064377,0.049241,0.025891,0.047301,0.025155,0.048257,0.025013,0.052417,0.061762,0.047017,0.062065
61,90,2,600,9.14789,0.686971,10.3221,0.369349,8.86304,0.354172,9.86062,0.365378,16.2108,0.321525,0.159716,0.15463,0.149059,0.146419,0.072982,0.140243,0.06493,0.131953,0.060916,0.053223,0.061496,0.052784,0.068057,0.053008,0.06294,0.143041,0.064752,0.120661
81,90,2,600,9.81888,1.17779,10.1582,0.619399,9.59847,0.624035,10.4079,0.623863,23.0478,0.628319,0.280725,0.221868,0.256392,0.202973,0.088723,0.200296,0.095689,0.218397,0.087149,0.091821,0.086246,0.09205,0.088179,0.092939,0.085968,0.212047,0.084691,0.196289
101,90,2,600,8.75502,1.70023,9.45545,0.873749,8.69379,0.888859,9.35114,0.888328,21.0458,0.902663,0.468306,0.320903,0.473346,0.293498,0.116605,0.307233,0.112583,0.293108,0.111721,0.138418,0.111526,0.137225,0.119088,0.138402,0.153088,0.33948,0.11791,0.327495
1,90,2,600,0.037029,0.000198,0.040702,0.000127,0.038974,0.000133,0.040149,9.9e-05,0.036343,9.6e-05,0.036323,0.002502,0.029738,0.001769,0.019508,0.002378,0.02247,0.002409,0.017886,0.000186,0.035272,0.000156,0.027141,0.000153,0.018852,0.002858,0.022397,0.002617
21,90,2,600,0.034388,0.00834,0.051981,0.004337,0.045257,0.004214,0.245629,0.014059,0.04917,0.004746,0.18893,0.023518,0.191767,0.022043,0.027609,0.02087,0.026986,0.024108,0.028247,0.008015,0.129275,0.02827,0.045658,0.008247,0.026088,0.026828,0.027387,0.029341
41,90,2,600,0.036245,0.028259,0.040574,0.016008,0.035217,0.015585,0.440083,0.064318,0.038047,0.01615,0.827946,0.067553,0.692899,0.064245,0.037835,0.066341,0.038254,0.065719,0.036629,0.025339,0.162653,0.085273,0.04501,0.026283,0.038674,0.073283,0.036844,0.069502
