Gamma, tau, time_master_BA, time_subproblem_BA, time_master_KC, time_subproblem_KC, time_master_KCU, time_subproblem_KCU, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCHOG, time_subproblem_KCHOG
1,20,0.004404,8.2e-05,0.002916,9.7e-05,0.002049,8.1e-05,0.00203,0.000686,0.002206,0.008179
1,20,0.008792,0.000125,0.002148,9.6e-05,0.002184,8.8e-05,0.002149,0.000622,0.002162,0.008037
1,20,0.015535,0.000166,0.002844,9.8e-05,0.005495,0.000171,0.005478,0.000491,0.002858,0.001489
1,20,0.016856,0.000167,0.002866,0.000114,0.005187,0.000173,0.005183,0.001239,0.004253,0.012146
1,20,0.016606,0.000166,0.002841,9.8e-05,0.004862,0.000174,0.004882,0.000742,0.002845,0.00325
1,20,0.016358,0.000173,0.002762,9.9e-05,0.005319,0.000173,0.005319,0.001263,0.005343,0.016021
1,20,0.004479,8.1e-05,0.00309,9.8e-05,0.002005,8.3e-05,0.001997,0.001216,0.002178,0.009149
1,20,0.004395,8.2e-05,0.003022,9.7e-05,0.002146,8.2e-05,0.002148,0.000563,0.002136,0.007874
1,20,0.00892,0.000131,0.003842,0.000149,0.003547,0.000128,0.003573,0.001013,0.003863,0.009612
1,20,0.004301,8.3e-05,0.003282,9.7e-05,0.002168,8.1e-05,0.002176,0.000611,0.002334,0.008027
1,20,0.016868,0.000169,0.002827,9.9e-05,0.005914,0.000175,0.006039,0.000939,0.00282,0.006725
1,20,0.009053,0.000126,0.002125,9.5e-05,0.002157,8.3e-05,0.00213,0.000593,0.002141,0.008021
1,20,0.016781,0.000171,0.004081,0.000148,0.005598,0.000179,0.005618,0.000382,0.004073,0.001104
1,20,0.008422,0.000125,0.00216,9.6e-05,0.002208,8.2e-05,0.002183,0.000615,0.002179,0.008233
1,20,0.016021,0.000167,0.00424,0.000148,0.005176,0.000171,0.005175,0.001315,0.005157,0.016172
1,20,0.004111,8.3e-05,0.002956,9.6e-05,0.00205,8.2e-05,0.002069,0.000795,0.002212,0.008389
1,20,0.004125,8.3e-05,0.003075,0.000103,0.002208,8.3e-05,0.002198,0.000746,0.002322,0.008303
1,20,0.016965,0.000169,0.002825,9.8e-05,0.005611,0.000172,0.005789,0.001197,0.004358,0.011998
1,20,0.009421,0.000125,0.004053,0.000146,0.003387,0.000126,0.003374,0.001111,0.004059,0.012271
1,20,0.009726,0.000132,0.002324,9.6e-05,0.002181,8.2e-05,0.002161,0.00043,0.002149,0.004714
1,20,0.00429,8.3e-05,0.003061,0.000103,0.002002,8.1e-05,0.002019,0.000581,0.00199,0.007982
1,20,0.01585,0.000167,0.002803,9.9e-05,0.005077,0.000172,0.005077,0.001552,0.005466,0.016674
1,40,0.004172,8.2e-05,0.003598,9.6e-05,0.002163,8.1e-05,0.002303,0.000853,0.002323,0.008494
1,40,0.01642,0.000165,0.004051,0.000162,0.004629,0.000169,0.004626,0.001224,0.004626,0.016054
1,40,0.004038,8.2e-05,0.003195,0.000109,0.002164,8.2e-05,0.00218,0.000677,0.002326,0.008139
1,40,0.016516,0.000166,0.004306,0.000148,0.005922,0.000178,0.005927,0.000826,0.00431,0.004561
1,40,0.009725,0.000123,0.003773,0.000149,0.003463,0.000126,0.003552,0.000836,0.003465,0.01194
1,40,0.015837,0.000174,0.002753,0.000101,0.005478,0.000172,0.005451,0.001071,0.002759,0.006868
1,40,0.01551,0.000171,0.002921,9.8e-05,0.004868,0.000172,0.004843,0.001935,0.002931,0.008862
1,40,0.017483,0.000185,0.003092,9.9e-05,0.006179,0.000176,0.006187,0.001334,0.004691,0.01221
1,40,0.008338,0.000126,0.002165,9.7e-05,0.002193,8.2e-05,0.002144,0.000615,0.002153,0.008046
1,40,0.008552,0.000125,0.003982,0.000149,0.003602,0.000136,0.003602,0.000962,0.003928,0.009521
1,40,0.004359,8.2e-05,0.003086,9.8e-05,0.001948,8.1e-05,0.001961,0.00062,0.00215,0.008011
1,40,0.004529,8.3e-05,0.003064,9.7e-05,0.002186,8.2e-05,0.002206,0.000801,0.002307,0.008417
1,40,0.00445,8.2e-05,0.003016,9.7e-05,0.002154,8.2e-05,0.002136,0.000702,0.002143,0.008202
1,40,0.003837,8.2e-05,0.002975,9.7e-05,0.002294,8.1e-05,0.00222,0.000648,0.00227,0.008169
1,40,0.00432,8.3e-05,0.003228,9.7e-05,0.002204,9.6e-05,0.002212,0.000703,0.002331,0.00821
1,40,0.004194,8.2e-05,0.00321,9.7e-05,0.001933,8.1e-05,0.001932,0.000624,0.001908,0.008072
1,40,0.016534,0.000163,0.002934,9.9e-05,0.005401,0.000171,0.005405,0.001131,0.002929,0.006991
1,40,0.004064,8.3e-05,0.003068,9.8e-05,0.002074,8.2e-05,0.002069,0.000718,0.002226,0.008253
1,40,0.009232,0.000125,0.002009,0.000104,0.002035,8.3e-05,0.002016,0.000586,0.002002,0.006101
1,40,0.017581,0.000174,0.002769,9.8e-05,0.005654,0.000182,0.00563,0.001156,0.005637,0.015934
1,40,0.004417,8.3e-05,0.00323,9.7e-05,0.00218,8.2e-05,0.002185,0.0007,0.002165,0.008223
1,40,0.004071,8.2e-05,0.003241,9.7e-05,0.002207,8.1e-05,0.002183,0.00076,0.002288,0.00848
1,40,0.009853,0.000134,0.003992,0.000148,0.003267,0.000127,0.003281,0.00091,0.00328,0.011943
1,40,0.004567,8.3e-05,0.00295,9.6e-05,0.00215,8.2e-05,0.002157,0.000669,0.002133,0.008181
1,40,0.004693,8.2e-05,0.002949,9.7e-05,0.002064,8.3e-05,0.00206,0.00084,0.002236,0.008449
1,40,0.016691,0.000168,0.002945,9.8e-05,0.00434,0.000172,0.004346,0.001542,0.004352,0.016695
1,40,0.009271,0.000124,0.003633,0.000148,0.0029,0.000127,0.002899,0.001003,0.00288,0.012216
1,40,0.008799,0.000124,0.003967,0.000149,0.003655,0.000128,0.003635,0.001205,0.003663,0.012625
1,40,0.016245,0.000166,0.002848,9.9e-05,0.005778,0.000175,0.005772,0.00124,0.004262,0.012014
1,40,0.009311,0.000124,0.003869,0.000147,0.003629,0.000126,0.003693,0.000749,0.00391,0.004577
1,40,0.016095,0.000186,0.002749,9.7e-05,0.004455,0.000173,0.004453,0.001251,0.00276,0.00707
1,40,0.008385,0.000124,0.002158,9.6e-05,0.002186,8.3e-05,0.002145,0.000659,0.002172,0.008114
1,40,0.004048,8.2e-05,0.003128,9.7e-05,0.002166,8.3e-05,0.002176,0.000604,0.002306,0.008019
1,40,0.004115,8.3e-05,0.003089,9.7e-05,0.002174,8.2e-05,0.002198,0.000666,0.002141,0.008113
1,40,0.009446,0.000123,0.003784,0.000148,0.00304,0.000128,0.003037,0.001015,0.003049,0.012167
1,40,0.004644,8.3e-05,0.003087,9.7e-05,0.002187,8.2e-05,0.00221,0.000729,0.002345,0.008285
1,40,0.015667,0.000167,0.002834,9.9e-05,0.00512,0.000181,0.005106,0.000808,0.002826,0.003204
1,40,0.008173,0.000142,0.002199,9.5e-05,0.002218,8.2e-05,0.0022,0.000554,0.002184,0.005235
