Gamma, tau, nb_path_to_select, limit_number_paths, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCHOGL, time_subproblem_KCHOGL
21,80,3,500,0.017073,0.015244,0.016755,0.013896
21,80,3,600,0.017419,0.014502,0.016829,0.014149
21,80,3,700,0.020995,0.019907,0.028755,0.034956
21,80,3,800,0.026906,0.026392,0.018914,0.016883
21,80,3,900,0.017275,0.01497,0.018118,0.016105
21,80,3,1000,0.017764,0.019029,0.017973,0.016347
21,80,3,1100,0.020429,0.014782,0.021028,0.022316
21,80,3,1200,0.036633,0.028134,0.02989,0.030083
21,80,3,1300,0.020718,0.018031,0.016705,0.01638
21,80,3,1400,0.017176,0.016278,0.016519,0.016472
21,80,5,100,0.012542,0.009643,0.012541,0.01005
21,80,5,200,0.016483,0.013527,0.016828,0.014099
21,80,5,300,0.016853,0.013238,0.016964,0.014184
21,80,5,400,0.01687,0.01464,0.017114,0.014526
21,80,5,500,0.017572,0.014499,0.017858,0.014934
21,80,5,600,0.018104,0.014007,0.016956,0.01531
21,80,5,700,0.017997,0.014507,0.017018,0.015829
21,80,5,800,0.018545,0.01449,0.016937,0.016391
21,80,5,900,0.018259,0.014501,0.017096,0.016901
21,80,5,1000,0.017699,0.01483,0.017179,0.017126
21,80,5,1100,0.018145,0.015135,0.017536,0.017695
21,80,5,1200,0.017706,0.015008,0.017571,0.017647
21,80,5,1300,0.017575,0.015592,0.016811,0.018671
21,80,5,1400,0.017285,0.015536,0.016867,0.019355
21,80,7,100,0.011986,0.009932,0.012255,0.012044
21,80,7,200,0.019156,0.014608,0.01797,0.013858
21,80,7,300,0.017649,0.017118,0.019295,0.018048
21,80,7,400,0.021038,0.01343,0.016521,0.016972
21,80,7,500,0.020798,0.015972,0.01948,0.016843
21,80,7,600,0.018813,0.014428,0.01773,0.01796
21,80,7,700,0.018096,0.017441,0.020916,0.02254
21,80,7,800,0.026379,0.021132,0.023303,0.024088
21,80,7,900,0.02024,0.017762,0.021451,0.019556
21,80,7,1000,0.026501,0.025403,0.031332,0.036246
21,80,7,1100,0.023966,0.024441,0.031344,0.036037
21,80,7,1200,0.02499,0.019886,0.033026,0.038497
21,80,7,1300,0.02215,0.017318,0.02615,0.035034
21,80,7,1400,0.031326,0.023756,0.029024,0.03308
21,80,9,100,0.015908,0.015446,0.013071,0.014218
21,80,9,200,0.019786,0.015062,0.017403,0.015342
21,80,9,300,0.017049,0.015072,0.017331,0.016564
21,80,9,400,0.018156,0.015939,0.017428,0.016877
21,80,9,500,0.018376,0.015184,0.016752,0.018245
21,80,9,600,0.017003,0.014406,0.021982,0.019079
21,80,9,700,0.018173,0.017249,0.022789,0.020308
21,80,9,800,0.017068,0.015713,0.022413,0.02093
21,80,9,900,0.018607,0.019802,0.017782,0.021771
21,80,9,1000,0.021288,0.017087,0.017872,0.023099
21,80,9,1100,0.017293,0.016059,0.01762,0.025367
21,80,9,1200,0.01885,0.015343,0.019344,0.027716
21,80,9,1300,0.017072,0.017477,0.020506,0.034069
21,80,9,1400,0.033007,0.033448,0.02934,0.044889
21,80,11,100,0.013276,0.010026,0.012986,0.01264
