Gamma, tau, nb_path_to_select, limit_number_paths, time_master_KCHOG, time_subproblem_KCHOG, time_master_KCHOGL, time_subproblem_KCHOGL
11,100,9,1400,0.004109,0.010023,0.004205,0.005037
11,100,11,100,0.005922,0.002687,0.004931,0.004144
11,100,11,200,0.003862,0.002764,0.005103,0.002745
11,100,11,300,0.005271,0.004944,0.004067,0.002401
11,100,11,400,0.004685,0.005415,0.005483,0.00406
11,100,11,500,0.00437,0.005713,0.00474,0.003069
11,100,11,600,0.004693,0.006157,0.005286,0.005624
11,100,11,700,0.004458,0.007777,0.004064,0.003966
11,100,11,800,0.004436,0.008171,0.006741,0.004223
11,100,11,900,0.006146,0.007936,0.00465,0.00678
11,100,11,1000,0.004528,0.009849,0.004066,0.005177
11,100,11,1100,0.005578,0.009734,0.006301,0.005009
11,100,11,1200,0.004225,0.011078,0.005457,0.005741
11,100,11,1300,0.004397,0.011925,0.005855,0.006182
11,100,11,1400,0.004348,0.01492,0.004132,0.006856
21,80,3,100,0.011409,0.00498,0.006845,0.005198
21,80,3,200,0.011642,0.005625,0.007142,0.006409
21,80,3,300,0.011413,0.007052,0.012787,0.008663
21,80,3,400,0.007529,0.008745,0.012007,0.006356
21,80,3,500,0.015523,0.006632,0.015426,0.007845
21,80,3,600,0.010746,0.009849,0.009839,0.009446
21,80,3,700,0.008921,0.010979,0.00989,0.00622
21,80,3,800,0.0113,0.012793,0.012971,0.008252
21,80,3,900,0.01223,0.015587,0.010576,0.008163
21,80,3,1000,0.013452,0.00837,0.007137,0.009678
21,80,3,1100,0.009933,0.007976,0.008121,0.00821
21,80,3,1200,0.009823,0.008859,0.007755,0.009514
21,80,3,1300,0.010386,0.008432,0.008125,0.009904
21,80,3,1400,0.010246,0.008966,0.008608,0.012419
21,80,5,100,0.007422,0.00778,0.011755,0.007071
21,80,5,200,0.008728,0.006353,0.009223,0.012263
21,80,5,300,0.008725,0.01092,0.010457,0.005996
21,80,5,400,0.008723,0.010828,0.008504,0.005757
21,80,5,500,0.007654,0.012072,0.007432,0.006793
21,80,5,600,0.011913,0.007188,0.007913,0.008875
21,80,5,700,0.010303,0.007958,0.00825,0.011691
21,80,5,800,0.010806,0.015659,0.013042,0.014273
21,80,5,900,0.01183,0.015737,0.011431,0.014652
21,80,5,1000,0.018467,0.03082,0.009751,0.011912
21,80,5,1100,0.013273,0.014166,0.010772,0.01012
21,80,5,1200,0.00895,0.014033,0.007958,0.010052
21,80,5,1300,0.007289,0.010909,0.008966,0.009743
21,80,5,1400,0.010438,0.019238,0.013423,0.01392
21,80,7,100,0.007056,0.007305,0.007489,0.008708
21,80,7,200,0.007844,0.006269,0.007565,0.006339
21,80,7,300,0.009899,0.006491,0.007687,0.006282
21,80,7,400,0.008582,0.010336,0.007603,0.00666
21,80,7,500,0.010364,0.011707,0.017019,0.010667
21,80,7,600,0.010417,0.009393,0.007256,0.009802
21,80,7,700,0.009992,0.007438,0.006886,0.00852
21,80,7,800,0.009228,0.008853,0.007312,0.010384
21,80,7,900,0.009629,0.008563,0.006857,0.009937
21,80,7,1000,0.009309,0.009317,0.007882,0.01492
21,80,7,1100,0.008244,0.013849,0.007275,0.009142
21,80,7,1200,0.011431,0.010788,0.012965,0.009662
