Gamma, tau, time_master_BA, time_subproblem_BA, time_master_KC, time_subproblem_KC, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCHOG, time_subproblem_KCHOG, time_master_KCHOGL, time_subproblem_KCHOGL
1,80,0.012467,0.000272,0.006722,0.000313,0.004622,0.002751,0.004835,0.002543,0.004447,0.000199,0.00453,0.00029,0.005158,0.007161,0.004796,0.004537
1,80,0.024571,0.000354,0.003718,0.000359,0.007778,0.003752,0.007336,0.002323,0.006361,0.000288,0.006657,0.000287,0.006224,0.008398,0.007251,0.005833
1,80,0.013528,0.000384,0.002507,0.000135,0.003441,0.0031,0.00296,0.000819,0.002175,0.000146,0.002704,0.000155,0.003201,0.005986,0.002327,0.002198
1,100,0.012586,0.000269,0.002263,0.000129,0.002401,0.001245,0.00352,0.001137,0.002628,0.000122,0.002701,0.000117,0.002077,0.002691,0.003848,0.00372
1,100,0.012463,0.000196,0.002784,0.000251,0.002602,0.00144,0.002073,0.000754,0.002117,0.000163,0.003544,0.000191,0.003233,0.003249,0.002205,0.002181
1,100,0.012261,0.000233,0.004234,0.000291,0.006226,0.003103,0.004078,0.001019,0.00478,0.000254,0.005278,0.000226,0.004388,0.005732,0.004932,0.003777
1,100,0.012923,0.000253,0.004334,0.000208,0.004574,0.004027,0.00427,0.001555,0.003688,0.000227,0.0063,0.000275,0.004176,0.00432,0.00465,0.005389
1,100,0.021148,0.000329,0.005843,0.000298,0.005431,0.002226,0.004437,0.00154,0.007664,0.000409,0.004095,0.000192,0.005093,0.006424,0.004389,0.005439
1,100,0.010849,0.000237,0.002984,0.000215,0.003962,0.001278,0.003205,0.000545,0.00228,0.000114,0.002353,0.000144,0.003499,0.002419,0.003231,0.001257
1,100,0.004692,0.000124,0.006169,0.000187,0.002808,0.002038,0.002084,0.000759,0.002094,0.000144,0.004225,0.00023,0.002582,0.003589,0.002053,0.002152
1,100,0.012376,0.000286,0.002209,0.00013,0.002259,0.002444,0.003757,0.001089,0.002714,0.000106,0.002063,0.000111,0.002004,0.002564,0.004339,0.001884
