Gamma, tau, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCHOGL, time_subproblem_KCHOGL
1,80,0.004055,0.000628,0.003042,0.000692
1,80,0.003386,0.000923,0.006458,0.002018
1,80,0.003222,0.000956,0.003776,0.001462
1,80,0.003422,0.000653,0.003115,0.001092
1,80,0.00243,0.000572,0.002473,0.001391
1,80,0.002436,0.000747,0.002501,0.001869
1,80,0.002444,0.000417,0.002461,0.001581
1,80,0.002417,0.000551,0.002442,0.002348
1,80,0.002435,0.000737,0.002447,0.003117
1,80,0.002445,0.000409,0.002438,0.002428
1,80,0.002454,0.000561,0.002409,0.003613
1,80,0.002429,0.00072,0.00244,0.004812
1,80,0.002464,0.000398,0.002408,0.003511
1,80,0.002444,0.000551,0.002444,0.005324
1,80,0.002469,0.00073,0.002447,0.006931
1,90,0.002542,0.000402,0.002485,0.000616
1,90,0.002422,0.000658,0.002681,0.00097
1,90,0.00274,0.000971,0.002735,0.00121
1,90,0.002614,0.000442,0.002736,0.001026
1,90,0.002801,0.00074,0.002825,0.001527
1,90,0.002716,0.000895,0.002634,0.002232
1,90,0.003169,0.000506,0.002643,0.001543
1,90,0.002959,0.000665,0.002913,0.002405
1,90,0.003077,0.00106,0.003605,0.003785
1,90,0.003269,0.000485,0.002977,0.00236
1,90,0.002914,0.000833,0.003423,0.003717
1,90,0.003017,0.000938,0.002861,0.004893
1,90,0.003337,0.000487,0.002981,0.00333
1,90,0.003097,0.000612,0.003079,0.005142
1,90,0.003324,0.001035,0.003032,0.007189
1,100,0.003059,0.000475,0.003052,0.000592
1,100,0.002958,0.000762,0.003125,0.000912
1,100,0.002708,0.00093,0.002615,0.001406
1,100,0.003425,0.000446,0.002643,0.000995
1,100,0.002598,0.00059,0.002588,0.001509
1,100,0.002495,0.000771,0.002555,0.001963
1,100,0.002469,0.000417,0.00254,0.001637
1,100,0.002805,0.000719,0.002751,0.002494
1,100,0.002645,0.000901,0.002582,0.003468
1,100,0.002997,0.000437,0.002879,0.002537
1,100,0.002713,0.000692,0.002577,0.003754
1,100,0.003456,0.001071,0.002995,0.005126
1,100,0.003044,0.000424,0.002526,0.003231
1,100,0.002647,0.000678,0.003162,0.005243
1,100,0.003745,0.001178,0.002601,0.00636
11,80,0.007992,0.003593,0.00797,0.003369
11,80,0.008115,0.004201,0.007789,0.004667
11,80,0.006866,0.004615,0.007477,0.00553
11,80,0.007561,0.003026,0.00779,0.003564
11,80,0.007751,0.004248,0.008242,0.005609
11,80,0.008072,0.004939,0.007459,0.007625
11,80,0.00764,0.003187,0.008038,0.004937
