Gamma, tau, nb_path_to_select, limit_number_paths, time_master_BA, time_subproblem_BA, time_master_BAN, time_subproblem_BAN, time_master_BAUD, time_subproblem_BAUD, time_master_KCA, time_subproblem_KCA, time_master_KCF, time_subproblem_KCF, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCOG, time_subproblem_KCOG, time_master_KCOGL, time_subproblem_KCOGL
61,90,2,600,0.039521,0.057482,0.037011,0.031993,0.042949,0.030322,1.85867,0.124347,1.61599,0.118543,0.052537,0.128499,0.051295,0.130984,0.056235,0.051979,0.059346,0.051793,0.051322,0.131704,0.050919,0.123087
81,90,2,600,0.035536,0.100958,0.035636,0.053521,0.045046,0.051707,3.05856,0.187617,3.55217,0.220106,0.071416,0.180076,0.071825,0.209732,0.072023,0.089199,0.079602,0.089616,0.07144,0.213049,0.07185,0.218772
101,90,2,600,0.03361,0.152998,0.035621,0.080877,0.040513,0.076769,6.60752,0.296664,5.13732,0.291112,0.097908,0.289857,0.097206,0.31278,0.101184,0.137579,0.104489,0.136146,0.096661,0.278795,0.097834,0.267425
1,90,2,600,0.067503,0.000333,0.070806,0.000216,0.06623,0.000144,0.046961,0.003086,0.04947,0.001822,0.048188,0.004303,0.039968,0.002331,0.03843,0.000296,0.041058,0.000279,0.048098,0.002925,0.040916,0.003216
21,90,2,600,2.77453,0.07414,3.99861,0.04322,4.33435,0.034154,0.14678,0.025869,0.149683,0.023296,0.034451,0.027949,0.051083,0.027689,0.033527,0.007671,0.042427,0.008049,0.034106,0.02832,0.033622,0.028894
41,90,2,600,3.7515,0.246389,3.78242,0.133015,4.24391,0.119916,0.379231,0.075513,0.349926,0.074384,0.041617,0.078267,0.051396,0.058225,0.042931,0.025352,0.054972,0.024956,0.040664,0.070898,0.043098,0.070142
61,90,2,600,4.09786,0.528023,3.1446,0.259786,3.54352,0.216796,0.622303,0.161056,0.734382,0.131973,0.059186,0.154887,0.059862,0.133647,0.057723,0.052665,0.063347,0.051581,0.057716,0.124094,0.065807,0.139059
81,90,2,600,2.89942,0.805793,3.34749,0.460039,3.38176,0.361482,1.15865,0.23473,0.890535,0.221899,0.077419,0.201907,0.078675,0.195065,0.07743,0.089088,0.081972,0.089161,0.077753,0.224615,0.076706,0.207293
101,90,2,600,1.80955,1.21816,2.07764,0.6592,4.02865,0.639001,2.34954,0.337405,2.35745,0.321394,0.104034,0.268123,0.104895,0.254749,0.102414,0.140639,0.10764,0.13593,0.101309,0.288713,0.102484,0.299076
1,90,2,600,0.028431,0.000176,0.031081,0.000132,0.03607,0.000101,0.035285,0.002302,0.033259,0.001578,0.032158,0.00255,0.023567,0.002549,0.024535,0.000185,0.03865,0.000194,0.034618,0.002653,0.025016,0.002134
21,90,2,600,0.029208,0.008493,0.031611,0.004181,0.035252,0.003959,0.201711,0.026152,0.206902,0.023284,0.028421,0.02734,0.028614,0.027847,0.027872,0.008015,0.034386,0.007611,0.029399,0.028391,0.029502,0.029991
41,90,2,600,0.027663,0.028871,0.030905,0.015291,0.043183,0.016166,0.852638,0.070457,0.732269,0.060566,0.037438,0.06235,0.093187,0.065128,0.038612,0.024679,0.051746,0.024996,0.06089,0.068493,0.05514,0.066396
61,90,2,600,0.0312,0.058576,0.033471,0.031625,0.042167,0.030188,2.0999,0.138794,2.91503,0.12044,0.055886,0.109829,0.052901,0.133521,0.052653,0.051915,0.068106,0.052477,0.053404,0.132596,0.052765,0.122258
81,90,2,600,0.027901,0.099844,0.035742,0.053798,0.04347,0.051504,3.68403,0.203842,6.19833,0.21855,0.072645,0.206872,0.072926,0.206446,0.075824,0.089832,0.078605,0.088941,0.072723,0.206207,0.072963,0.172124
101,90,2,600,0.028133,0.152311,0.030413,0.081281,0.043161,0.078168,6.15836,0.29509,5.75826,0.308921,0.098972,0.304981,0.09836,0.327334,0.098525,0.13736,0.105227,0.136778,0.10004,0.290955,0.099307,0.278637
1,90,2,600,0.032414,0.000194,0.040799,0.000128,0.040886,0.000111,0.033408,0.002519,0.032038,0.001789,0.025566,0.002753,0.02669,0.002538,0.025968,0.000208,0.029231,0.000183,0.041465,0.003283,0.030716,0.002269
21,90,2,600,0.063982,0.013131,0.072912,0.006706,0.103222,0.006889,0.188299,0.025822,0.18,0.025229,0.049541,0.035945,0.049457,0.042437,0.050034,0.011722,0.061138,0.013197,0.055714,0.031119,0.044973,0.042964
41,90,2,600,0.063155,0.041907,0.075783,0.023531,0.102153,0.022473,0.617885,0.070336,0.546434,0.067394,0.06216,0.09651,0.062636,0.098238,0.062641,0.04036,0.091262,0.040113,0.064091,0.108936,0.059351,0.107656
61,90,2,600,0.060517,0.092192,0.067817,0.048069,0.108824,0.046204,1.77713,0.137294,1.40819,0.139485,0.087599,0.21508,0.086217,0.195229,0.082752,0.083342,0.098893,0.083261,0.086394,0.18679,0.082563,0.196667
81,90,2,600,0.062681,0.15376,0.06855,0.082308,0.10899,0.076267,2.31693,0.192293,2.4926,0.201038,0.117917,0.344045,0.118319,0.347508,0.113662,0.141778,0.1304,0.138861,0.125737,0.285159,0.119095,0.285859
101,90,2,600,0.06825,0.228921,0.074252,0.122802,0.095856,0.116762,4.77602,0.309575,3.46358,0.294831,0.206695,0.505085,0.167417,0.471231,0.151108,0.217992,0.168674,0.215414,0.156389,0.484482,0.152585,0.445847
1,90,2,600,0.03114,0.000227,0.039572,0.000143,0.036771,0.0001,0.035203,0.002285,0.036497,0.001892,0.024422,0.002763,0.023901,0.002179,0.031428,0.000147,0.036984,0.000175,0.027335,0.002678,0.026818,0.001912
21,90,2,600,0.030949,0.007793,0.033108,0.004737,0.042444,0.003749,0.211,0.017647,0.194548,0.021609,0.033277,0.025436,0.03083,0.02127,0.029829,0.007739,0.040344,0.007797,0.029961,0.0234,0.031439,0.023307
41,90,2,600,0.032293,0.028071,0.035622,0.015677,0.048349,0.016334,0.832716,0.056431,0.617975,0.067936,0.039667,0.061484,0.040527,0.061532,0.047473,0.024795,0.046175,0.024817,0.03987,0.062565,0.039303,0.063352
