Fichier, Gamma, tau, time_master_s_classic, time_subproblem_s_classic, time_master_s_augmented, time_subproblem_s_augmented, time_master_s_augmented_HOG, time_subproblem_s_augmented_HOG
toy_instances/toy_instance_10.txt,1,80,0.013967,0.000383,0.00927,0.000485,0.00675,0.027222
toy_instances/toy_instance_40.txt,1,80,0.012751,0.000381,0.009555,0.000373,0.006706,0.027012
toy_instances/toy_instance_18.txt,1,80,0.025273,0.000687,0.006673,0.000392,0.005893,0.018341
toy_instances/toy_instance_50.txt,1,80,0.034414,0.000579,0.021634,0.000559,0.01954,0.076214
toy_instances/toy_instance_6.txt,1,80,0.057407,0.000546,0.012731,0.00083,0.00804,0.033692
toy_instances/toy_instance_30.txt,1,80,0.059992,0.000565,0.014001,0.000393,0.011192,0.045994
toy_instances/toy_instance_45.txt,1,80,0.052706,0.00036,0.032386,0.000601,0.016462,0.075546
toy_instances/toy_instance_35.txt,1,80,0.172182,0.001075,0.021012,0.00034,0.013333,0.026221
toy_instances/toy_instance_12.txt,1,80,0.038983,0.000573,0.008482,0.00039,0.007373,0.040722
toy_instances/toy_instance_43.txt,1,80,0.025686,0.000603,0.005963,0.000384,0.006976,0.024044
toy_instances/toy_instance_36.txt,1,80,0.053278,0.000731,0.010687,0.000414,0.016896,0.055003
toy_instances/toy_instance_25.txt,1,80,0.029378,0.000553,0.006746,0.000402,0.006913,0.02713
toy_instances/toy_instance_1.txt,1,80,0.027479,0.000586,0.010486,0.000571,0.008493,0.038544
toy_instances/toy_instance_4.txt,1,80,0.046848,0.000713,0.01425,0.000343,0.021683,0.064667
toy_instances/toy_instance_31.txt,1,80,0.027993,0.000567,0.006903,0.000431,0.007104,0.016985
toy_instances/toy_instance_14.txt,1,80,0.013036,0.000379,0.010093,0.000427,0.006062,0.028953
toy_instances/toy_instance_42.txt,1,80,0.050812,0.000723,0.01187,0.00054,0.016207,0.055703
toy_instances/toy_instance_9.txt,1,80,0.034544,0.000626,0.006629,0.000348,0.00811,0.030614
toy_instances/toy_instance_2.txt,1,100,0.046955,0.000774,0.01004,0.000375,0.011114,0.001064
toy_instances/toy_instance_47.txt,1,100,0.014039,0.001236,0.011349,0.000374,0.012716,0.00644
toy_instances/toy_instance_7.txt,1,100,0.050747,0.000912,0.008013,0.000448,0.010813,0.016004
toy_instances/toy_instance_13.txt,1,100,0.085798,0.000907,0.026385,0.000584,0.031042,0.022938
toy_instances/toy_instance_20.txt,1,100,0.055158,0.000556,0.012492,0.000343,0.011368,0.082175
toy_instances/toy_instance_3.txt,1,100,0.034968,0.000367,0.020877,0.003571,0.009195,0.034095
toy_instances/toy_instance_16.txt,1,100,0.01693,0.00038,0.01138,0.000364,0.007204,0.038058
toy_instances/toy_instance_29.txt,1,100,0.064309,0.000809,0.010225,0.000452,0.008789,0.035875
toy_instances/toy_instance_37.txt,1,100,0.04549,0.000535,0.011862,0.000457,0.020278,0.061892
toy_instances/toy_instance_5.txt,1,100,0.088211,0.000737,0.021298,0.000606,0.012187,0.009253
toy_instances/toy_instance_11.txt,1,100,0.011286,0.000311,0.008663,0.000358,0.007665,0.026549
toy_instances/toy_instance_34.txt,1,100,0.040095,0.000692,0.008888,0.000357,0.008702,0.021878
toy_instances/toy_instance_41.txt,1,100,0.054374,0.000629,0.010785,0.000332,0.00888,0.008432
toy_instances/toy_instance_48.txt,1,100,0.01389,0.000382,0.009597,0.000341,0.010355,0.038661
